0,square,1000,normal,0.1,0,1,0.031314997,0.054914061,3.131499688,5.491406098
1,l1,1000,normal,0.1,0,1,0.075102429,0.484935075,7.510242915,48.4935075
2,square,800,normal,0.1,0,1,0.019007715,0.026353307,1.900771503,2.635330707
3,l1,800,normal,0.1,0,1,0.075323843,0.487872213,7.532384328,48.78722131
4,square,600,normal,0.1,0,1,0.02669307,0.028633645,2.669306992,2.86336448
5,l1,600,normal,0.1,0,1,0.102370231,0.785932004,10.23702306,78.59320045
6,square,400,normal,0.1,0,1,0.027443525,0.009308083,2.744352457,0.930808298
7,l1,400,normal,0.1,0,1,0.082817812,0.7756598,8.281781184,77.56597996
8,square,200,normal,0.1,0,1,0.045704966,0.010803195,4.57049657,1.080319472
9,l1,200,normal,0.1,0,1,0.081243023,0.03839327,8.124302309,3.839327022
10,square,1000,t1,0.1,0,1,1.348053182,0.369225442,134.8053182,36.92254424
11,l1,1000,t1,0.1,0,1,0.042235938,0.021095674,4.223593829,2.109567448
12,square,800,t1,0.1,0,1,1.91627197,1.125424623,191.627197,112.5424623
13,l1,800,t1,0.1,0,1,0.11992622,0.717172742,11.99262198,71.71727419
14,square,600,t1,0.1,0,1,1.864092782,0.657155275,186.4092782,65.71552753
15,l1,600,t1,0.1,0,1,0.158952202,0.781038344,15.89522021,78.10383439
16,square,400,t1,0.1,0,1,0.528115574,0.052655671,52.81155739,5.265567079
17,l1,400,t1,0.1,0,1,0.130959005,0.764843822,13.09590045,76.48438215
18,square,200,t1,0.1,0,1,0.724020891,0.332776099,72.40208908,33.27760994
19,l1,200,t1,0.1,0,1,0.463812104,0.978718758,46.38121036,97.87187576
20,square,1000,contamined,0.1,0,1,0.498702347,4.019314289,49.87023474,401.9314289
21,l1,1000,contamined,0.1,0,1,0.033639227,0.025936153,3.3639227,2.593615279
22,square,800,contamined,0.1,0,1,0.499189147,3.356093884,49.91891467,335.6093884
23,l1,800,contamined,0.1,0,1,0.034594221,0.042253658,3.459422065,4.225365818
24,square,600,contamined,0.1,0,1,0.286958737,0.95558691,28.69587367,95.55869102
25,l1,600,contamined,0.1,0,1,0.142529891,0.905553699,14.25298905,90.55536985
26,square,400,contamined,0.1,0,1,0.283524773,0.943676054,28.35247734,94.36760545
27,l1,400,contamined,0.1,0,1,0.057088427,0.019010101,5.708842669,1.901010051
28,square,200,contamined,0.1,0,1,0.197553518,0.020829786,19.75535175,2.082978562
29,l1,200,contamined,0.1,0,1,0.079409703,0.009685265,7.940970278,0.96852649
30,square,1000,none,0.1,0,1,0.006915484,0.02518894,0.691548395,2.518893965
31,l1,1000,none,0.1,0,1,0.039030448,0.031492297,3.903044757,3.149229661
32,square,1000,none,0.1,0,1,0.020215617,0.034360453,2.021561701,3.436045349
33,l1,800,none,0.1,0,1,0.024329005,0.032672733,2.432900519,3.267273307
34,square,800,none,0.1,0,1,0.202919621,0.712905943,20.29196212,71.29059434
35,l1,600,none,0.1,0,1,0.033547892,0.033466384,3.354789245,3.346638381
36,square,600,none,0.1,0,1,0.012331479,0.026705017,1.233147867,2.670501731
37,l1,400,none,0.1,0,1,0.086562877,0.946375489,8.656287718,94.63754892
38,square,400,none,0.1,0,1,0.225327642,1.353633046,22.53276416,135.3633046
39,l1,200,none,0.1,0,1,0.046983799,0.051834978,4.698379948,5.183497816
40,square,200,none,0.1,0,1,0.166046963,1.187225223,16.6046963,118.7225223
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
