adam_iter = 10000
bfgs_iter = 100000
Nf = 8000
N_increase = 1
save_path = ./data/2023_03_12_12_25_44
verbose = False
repeat = 1
num_layers = 8
num_neurons = 40
start_epoch = 0
dict_keys(['__header__', '__version__', '__globals__', 'x', 'y', 'p', 'vx', 'vy'])
epoch:   1139, lr: 1.000e-03, data_loss: 5.463e-02, pde_loss: 8.973e-06, cost: 2823.62
epoch:   1159, lr: 1.000e-03, data_loss: 5.352e-02, pde_loss: 9.520e-06, cost: 2873.75
epoch:   1179, lr: 1.000e-03, data_loss: 5.603e-02, pde_loss: 8.589e-06, cost: 2922.85
epoch:   1199, lr: 1.000e-03, data_loss: 5.452e-02, pde_loss: 1.096e-05, cost: 2972.25
epoch:   1219, lr: 1.000e-03, data_loss: 5.768e-02, pde_loss: 1.101e-05, cost: 3022.21
epoch:   1239, lr: 1.000e-03, data_loss: 5.494e-02, pde_loss: 8.573e-06, cost: 3072.83
epoch:   1259, lr: 1.000e-03, data_loss: 5.421e-02, pde_loss: 6.993e-06, cost: 3124.30
epoch:   1279, lr: 1.000e-03, data_loss: 5.552e-02, pde_loss: 6.961e-06, cost: 3174.03
epoch:   1299, lr: 1.000e-03, data_loss: 5.429e-02, pde_loss: 6.810e-06, cost: 3223.42
epoch:   1319, lr: 1.000e-03, data_loss: 5.612e-02, pde_loss: 7.540e-06, cost: 3272.84
epoch:   1339, lr: 1.000e-03, data_loss: 5.489e-02, pde_loss: 5.449e-06, cost: 3321.86
epoch:   1359, lr: 1.000e-03, data_loss: 5.590e-02, pde_loss: 6.551e-06, cost: 3371.57
epoch:   1379, lr: 1.000e-03, data_loss: 5.489e-02, pde_loss: 5.691e-06, cost: 3420.63
epoch:   1399, lr: 1.000e-03, data_loss: 5.500e-02, pde_loss: 5.948e-06, cost: 3470.00
epoch:   1419, lr: 1.000e-03, data_loss: 5.788e-02, pde_loss: 1.187e-05, cost: 3519.56
epoch:   1439, lr: 1.000e-03, data_loss: 5.299e-02, pde_loss: 1.332e-05, cost: 3568.97
epoch:   1459, lr: 1.000e-03, data_loss: 5.683e-02, pde_loss: 4.572e-06, cost: 3618.38
epoch:   1479, lr: 1.000e-03, data_loss: 5.557e-02, pde_loss: 9.669e-06, cost: 3667.65
epoch:   1499, lr: 1.000e-03, data_loss: 5.787e-02, pde_loss: 4.119e-06, cost: 3717.53
epoch:   1519, lr: 1.000e-03, data_loss: 5.560e-02, pde_loss: 3.179e-06, cost: 3767.53
epoch:   1539, lr: 1.000e-03, data_loss: 5.674e-02, pde_loss: 6.110e-06, cost: 3816.59
epoch:   1559, lr: 1.000e-03, data_loss: 5.399e-02, pde_loss: 2.736e-06, cost: 3865.76
epoch:   1579, lr: 1.000e-03, data_loss: 5.363e-02, pde_loss: 3.079e-06, cost: 3915.84
epoch:   1599, lr: 1.000e-03, data_loss: 5.758e-02, pde_loss: 3.817e-06, cost: 3966.24
epoch:   1619, lr: 1.000e-03, data_loss: 5.674e-02, pde_loss: 3.917e-06, cost: 4015.43
epoch:   1639, lr: 1.000e-03, data_loss: 5.622e-02, pde_loss: 3.257e-06, cost: 4064.74
epoch:   1659, lr: 1.000e-03, data_loss: 5.617e-02, pde_loss: 5.512e-06, cost: 4114.43
epoch:   1679, lr: 1.000e-03, data_loss: 5.482e-02, pde_loss: 2.659e-06, cost: 4164.01
epoch:   1699, lr: 1.000e-03, data_loss: 5.358e-02, pde_loss: 1.687e-06, cost: 4213.71
epoch:   1719, lr: 1.000e-03, data_loss: 5.302e-02, pde_loss: 5.730e-06, cost: 4263.18
epoch:   1739, lr: 1.000e-03, data_loss: 5.256e-02, pde_loss: 2.068e-06, cost: 4313.42
epoch:   1759, lr: 1.000e-03, data_loss: 5.371e-02, pde_loss: 2.752e-06, cost: 4363.38
epoch:   1779, lr: 1.000e-03, data_loss: 5.298e-02, pde_loss: 3.820e-06, cost: 4413.60
epoch:   1799, lr: 1.000e-03, data_loss: 5.472e-02, pde_loss: 2.571e-06, cost: 4463.72
epoch:   1819, lr: 1.000e-03, data_loss: 5.708e-02, pde_loss: 7.678e-06, cost: 4513.29
epoch:   1839, lr: 1.000e-03, data_loss: 5.392e-02, pde_loss: 2.733e-06, cost: 4563.71
epoch:   1859, lr: 1.000e-03, data_loss: 5.575e-02, pde_loss: 2.776e-06, cost: 4616.11
epoch:   1879, lr: 1.000e-03, data_loss: 5.569e-02, pde_loss: 5.366e-06, cost: 5260.20
epoch:   1899, lr: 1.000e-03, data_loss: 5.413e-02, pde_loss: 6.133e-06, cost: 5310.17
