adam_iter = 10000
bfgs_iter = 100000
Nf = 8000
N_increase = 1
save_path = ./data/2023_03_12_12_25_29
verbose = False
repeat = 1
num_layers = 8
num_neurons = 40
start_epoch = 0
dict_keys(['__header__', '__version__', '__globals__', 'x', 'y', 'p', 'vx', 'vy'])
epoch:   1139, lr: 1.000e-03, data_loss: 1.053e-01, pde_loss: 2.634e-05, cost: 2792.01
epoch:   1159, lr: 1.000e-03, data_loss: 1.059e-01, pde_loss: 3.760e-05, cost: 2840.60
epoch:   1179, lr: 1.000e-03, data_loss: 1.056e-01, pde_loss: 2.004e-05, cost: 2890.12
epoch:   1199, lr: 1.000e-03, data_loss: 1.070e-01, pde_loss: 1.814e-05, cost: 2938.62
epoch:   1219, lr: 1.000e-03, data_loss: 1.069e-01, pde_loss: 2.402e-05, cost: 2987.45
epoch:   1239, lr: 1.000e-03, data_loss: 1.133e-01, pde_loss: 7.594e-05, cost: 3036.85
epoch:   1259, lr: 1.000e-03, data_loss: 1.078e-01, pde_loss: 3.459e-05, cost: 3086.87
epoch:   1279, lr: 1.000e-03, data_loss: 1.065e-01, pde_loss: 5.478e-05, cost: 3137.79
epoch:   1299, lr: 1.000e-03, data_loss: 1.052e-01, pde_loss: 6.297e-05, cost: 3187.04
epoch:   1319, lr: 1.000e-03, data_loss: 1.052e-01, pde_loss: 2.808e-05, cost: 3235.88
epoch:   1339, lr: 1.000e-03, data_loss: 1.049e-01, pde_loss: 3.621e-05, cost: 3284.67
epoch:   1359, lr: 1.000e-03, data_loss: 1.048e-01, pde_loss: 2.480e-05, cost: 3333.28
epoch:   1379, lr: 1.000e-03, data_loss: 1.047e-01, pde_loss: 4.333e-05, cost: 3382.50
epoch:   1399, lr: 1.000e-03, data_loss: 1.045e-01, pde_loss: 2.273e-05, cost: 3430.98
epoch:   1419, lr: 1.000e-03, data_loss: 1.077e-01, pde_loss: 3.074e-05, cost: 3479.67
epoch:   1439, lr: 1.000e-03, data_loss: 1.070e-01, pde_loss: 3.990e-05, cost: 3528.76
